,Nombre_archivo,Peso_archivo,Num_aprox_bp,Num_secuencias,Secuencias,Lon_secuencias,Tipo_entrada,Algoritmo,Min_sup,Tolerancia_delante,Tolerancia_detras,Longitud_minima,Impresion_logo,Num_patrones,Longitud_max_patrones,Num_motifs,Longitud_max_motifs,Inicio,Fin,Duracion,Nombre_resultados
0,Texto-Secuencias,4.50E-05,45,3,"1,2,3","15,15,15",texto-plano,BIMS,2,2,2,2,True,13,3,12,10,37:26.9,37:34.8,0 days 00:00:07.886030,EXP_texto-plano_Manual_BIMS_2_2_2_2_True_20-6-2022_10-37-26
0,test_sequence.fasta,0.000137,55,3,"000000,000001,000002","19,18,18",texto-plano,BIMS,2,2,2,2,True,17,4,16,13,42:45.6,42:54.5,0 days 00:00:08.949004,EXP_test_sequence_Archivo_BIMS_2_2_2_2_True_20-6-2022_10-42-45
0,sequence_1.fasta,0.003378,3004,3,"JUKW01000036_1,JUTQ01000020_1,ACLM01000187_1","100,210,011,001",texto-plano,BIMS,2,2,2,6,True,1581,10,590,28,43:31.8,54:57.8,0 days 00:11:25.979203,EXP_sequence_1_Archivo_BIMS_2_2_2_6_True_5-10-2022_14-43-32
0,test_sequence.fasta,0.000137,55,3,"000000,000001,000002","19,18,18",texto-plano,BIMS,2,2,2,6,True,17,4,1,13,31:15.7,31:18.2,0 days 00:00:02.458996,EXP_test_sequence_Archivo_BIMS_2_2_2_6_True_21-11-2022_11-31-16
0,test_sequence.fasta,0.000137,55,3,"000000,000001,000002","19,18,18",texto-plano,BIMS,2,2,2,6,True,17,4,1,13,33:08.8,33:10.4,0 days 00:00:01.581046,EXP_test_sequence_Archivo_BIMS_2_2_2_6_True_21-11-2022_11-33-8
0,test_sequence.fasta,0.000137,55,3,"000000,000001,000002","19,18,18",texto-plano,BIMS,2,2,2,6,True,17,4,1,13,57:56.8,58:00.0,0 days 00:00:03.250682,EXP_test_sequence_Archivo_BIMS_2_2_2_6_True_21-11-2022_22-57-56
0,test_sequence.fasta,0.000137,55,3,"000000,000001,000002","19,18,18",texto-plano,BIMS,2,2,2,6,True,17,4,1,13,55:13.7,55:16.5,0 days 00:00:02.840343,EXP_test_sequence_Archivo_BIMS_2_2_2_6_True_22-11-2022_14-55-13
0,test_sequence.fasta,0.000137,55,3,"000000,000001,000002","19,18,18",texto-plano,BIMS,2,2,2,5,True,17,4,1,13,10:38.2,10:41.2,0 days 00:00:03.006994,EXP_test_sequence_Archivo_BIMS_2_2_2_5_True_26-11-2022_0-10-38
0,dengue_5_200.fasta,0.001457,1000,5,"AF086728.1,DV257568.1,DV261805.1,DV263139.1,DV263543.1","200,200,200,200,200",texto-plano,BIMS,2,2,2,6,True,595,8,141,25,01:14.5,03:55.5,0 days 00:02:40.949073,EXP_dengue_5_200_Archivo_BIMS_2_2_2_6_True_28-11-2022_1-1-14
0,dengue_3_200.fasta,0.00088,600,3,"DV261805.1,DV263139.1,DV263543.1","200,200,200",texto-plano,BIMS,2,2,2,6,True,324,7,87,22,10:01.3,11:30.3,0 days 00:01:29.042135,EXP_dengue_3_200_Archivo_BIMS_2_2_2_6_True_28-11-2022_1-10-1
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
0,dengue_3_200.fasta,0.00088,600,3,"DV261805.1,DV263139.1,DV263543.1","200,200,200",texto-plano,bi+,2,2,2,6,True,324,7,87,22,2022-11-28 01:23:24.508227,2022-11-28 01:27:25.226291,0 days 00:04:00.718064,EXP_dengue_3_200_Archivo_BIMS_2_2_2_6_True_28-11-2022_1-23-24
0,dengue_3_200.fasta,0.00088,600,3,"DV261805.1,DV263139.1,DV263543.1","200,200,200",texto-plano,bi+,2,2,2,6,True,324,7,87,22,2022-11-28 10:17:34.646136,2022-11-28 10:19:08.652896,0 days 00:01:34.006760,EXP_dengue_3_200_Archivo_BIMS_2_2_2_6_True_28-11-2022_10-17-34
